productid,locationid,calendarid,productcategoryid,startdate,enddate,divisionid,unitcost_sum,unitcost_count,initunitprice_sum,initunitprice_count,initunitvol,initrev,optunitprice_sum,optunitprice_count,optunitvol,optrev
1,1,1,77,2011-01-24,2011-12-20,3,140.08,3,1250.11,59,17,1103.69,1626.19,59,61,1787.19
1,1,2,5,2012-06-11,2012-10-12,1,603.89,51,1863.92,55,71,173.44,1326.7,99,37,1028.06
1,1,3,52,2012-02-24,2012-07-09,3,831.13,35,1839.67,3,11,1785.07,46.67,22,47,886.52
1,1,4,94,2012-11-11,2011-08-13,1,546.88,10,1723.29,31,94,1023.77,1127.38,75,99,449.8
1,1,5,11,2012-08-20,2011-01-22,3,835.95,15,606.25,68,99,1027.65,1798.27,14,99,529.65
1,1,6,49,2012-12-30,2011-02-23,2,527.15,20,1387.56,48,31,236.5,1217.6,18,6,1055.79
1,1,7,24,2011-10-22,2011-02-07,3,135.9,82,162.13,73,60,1445.19,51.73,4,92,723.59
1,1,8,19,2012-09-02,2011-08-25,3,143.7,49,21.45,77,15,1998.75,562.21,10,72,1633.04
1,1,9,4,2011-03-18,2012-03-02,1,165.81,13,1725.08,12,33,1082.66,945.58,85,83,1473.4
1,1,10,88,2011-10-27,2011-11-24,3,980.12,59,1498.51,63,82,52.64,1842.1,71,33,1264.15
1,2,1,77,2012-05-06,2012-04-09,3,302.16,91,1044.01,87,30,73.75,56.3,20,97,1149.11
1,2,2,94,2012-02-12,2012-10-21,2,785.46,35,1562.34,60,89,1655.1,1969.2,91,21,1705.65
1,2,3,90,2011-01-28,2012-01-21,1,306.48,99,1311.57,82,22,674.44,338.13,68,100,211.68
1,2,4,18,2012-03-05,2012-12-11,2,51.8,80,797.87,51,64,1872.44,1822.26,39,4,1202.49
1,2,5,19,2011-01-23,2012-03-03,4,802.75,35,1895.96,27,28,67.53,270.4,63,81,1019.12
1,2,6,75,2012-11-25,2012-06-22,4,841.05,46,409.33,46,97,337.84,1398.12,39,69,1905.62
1,2,7,49,2012-02-13,2012-12-12,4,270.71,12,603.33,73,78,1983.3,1536.1,59,11,942.63
1,2,8,27,2011-02-11,2011-07-31,2,352.58,33,783.75,34,74,1961.08,178.43,84,90,280.85
1,2,9,29,2012-10-29,2011-05-28,3,930.69,48,1994.49,100,93,1666.27,751.21,43,47,734.53
1,2,10,86,2012-02-24,2011-09-29,1,210.18,12,1645.42,74,10,1700.85,216.19,57,18,919.63
1,3,1,54,2012-07-15,2011-12-28,2,367.29,24,1635.7,99,84,114.13,1456.48,93,34,686.62
1,3,2,82,2012-01-14,2011-02-03,3,322.45,91,341.19,93,46,1872.93,777.44,68,40,584.12
1,3,3,64,2012-02-12,2011-05-17,4,635.79,20,1582.0,86,100,1834.88,1998.77,48,18,1805.8
1,3,4,20,2012-06-05,2012-08-16,4,565.2,59,1513.82,22,92,1055.66,1364.88,3,32,1612.36
1,3,5,19,2011-11-26,2011-05-09,1,559.44,35,680.85,68,30,445.74,1263.88,5,1,55.33
1,3,6,37,2012-04-03,2012-03-09,1,754.45,99,440.55,3,30,492.48,1713.38,37,12,1052.32
1,3,7,84,2012-01-09,2012-11-11,1,165.22,36,255.89,28,9,1246.92,936.7,47,97,1694.02
1,3,8,6,2011-01-03,2011-12-25,1,962.99,81,88.29,66,38,1631.4,972.57,72,35,1613.79
1,3,9,1,2012-04-04,2012-03-28,2,737.85,16,545.1,47,46,836.31,798.25,98,56,990.77
1,3,10,37,2012-10-14,2011-06-01,4,321.99,87,1413.86,63,21,1654.8,1709.44,1,96,865.71
1,4,1,69,2011-01-24,2012-07-23,1,331.66,11,878.85,29,63,1372.04,970.08,32,35,1438.02
1,4,2,40,2011-10-10,2011-12-13,3,535.96,37,1100.4,27,25,1847.17,1294.52,45,53,81.44
1,4,3,3,2011-04-20,2011-09-19,4,39.52,48,1681.12,61,69,1415.15,615.54,11,75,799.42
1,4,4,66,2011-09-04,2012-12-27,2,642.69,92,480.33,25,10,348.58,654.84,19,94,204.96
1,4,5,18,2012-02-16,2011-06-10,4,898.64,60,936.62,1,6,1530.58,1394.42,17,40,60.34
1,4,6,97,2011-03-17,2011-12-25,1,2.98,21,1691.21,42,9,1664.7,1614.9,36,63,1350.53
1,4,7,77,2012-01-11,2012-04-23,1,455.52,73,1151.66,90,61,184.36,604.06,55,24,1432.94
1,4,8,43,2012-06-04,2011-12-28,4,862.81,4,1504.21,19,59,858.86,1053.39,38,2,1889.81
1,4,9,92,2012-05-19,2011-08-29,2,239.57,56,301.89,87,63,1596.57,1354.76,55,97,1044.68
1,4,10,62,2011-03-16,2011-06-15,2,806.38,35,1080.37,78,79,442.23,1517.19,9,25,1244.29
1,5,1,90,2012-05-08,2011-03-15,2,934.24,82,1876.12,95,30,687.49,1482.68,83,92,675.3
